DATA,HOMICÍDIO DOLOSO (2),Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO OUTROS,TENTATIVA DE HOMICÍDIO,LESÃO CORPORAL SEGUIDA DE MORTE,LESÃO CORPORAL DOLOSA,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,LESÃO CORPORAL CULPOSA - OUTRAS,LATROCÍNIO,Nº DE VÍTIMAS EM LATROCÍNIO,TOTAL DE ESTUPRO (4),TOTAL DE ROUBO - OUTROS (1),ROUBO DE VEÍCULO,ROUBO A BANCO,ROUBO DE CARGA,FURTO - OUTROS,FURTO DE VEÍCULO,ESTUPRO,ROUBO - OUTROS,ESTUPRO DE VULNERÁVEL
2001-01-01,1109,1150,0,0,298,23,908,0.0,15814,8033,447,47,46,358,18069,8562,15,250,37274,9497,,,
2001-02-01,1115,1153,0,0,294,26,857,0.0,14019,7160,471,28,32,339,16627,8094,27,248,32987,8702,,,
2001-03-01,1181,1240,0,0,305,26,866,0.0,15778,8393,431,52,54,332,19383,9416,21,321,37048,10580,,,
2001-04-01,1168,1236,0,0,386,21,940,0.0,15095,9065,424,45,47,333,18816,8559,13,286,36432,9196,,,
2001-05-01,1101,1153,0,0,376,30,804,0.0,13296,9279,402,36,39,333,18940,8649,29,357,38227,10022,,,
2001-06-01,985,1035,0,0,381,33,788,0.0,13055,9161,444,36,37,312,17778,7755,16,343,35463,9312,,,
2001-07-01,930,1014,0,0,462,30,773,0.0,12960,9185,381,45,47,325,18592,8123,17,347,35995,9537,,,
2001-08-01,907,965,0,0,404,20,692,0.0,13567,9216,498,63,64,318,18610,8604,21,323,37261,10254,,,
2001-09-01,886,937,0,0,403,19,786,0.0,13878,8882,401,57,57,301,17922,8284,14,302,35061,9723,,,
2001-10-01,984,1019,0,0,415,39,823,0.0,15435,9747,353,47,48,330,19243,8974,25,359,39465,10221,,,
2001-11-01,956,1012,0,0,381,34,788,0.0,15168,9094,359,56,57,349,18293,8071,21,344,37217,9578,,,
2001-12-01,1153,1219,0,0,468,27,880,0.0,14805,10022,356,67,72,319,17425,7151,14,315,37897,8147,,,
2002-01-01,1037,1090,0,0,348,31,844,0.0,14287,8094,367,50,50,332,19387,7800,9,304,41409,9944,,,
2002-02-01,924,980,0,0,329,35,833,0.0,13445,7816,348,45,48,312,17373,7450,16,303,36061,9354,,,
2002-03-01,1189,1264,0,0,355,25,925,0.0,15234,9845,400,50,50,353,19401,8244,9,326,37477,9862,,,
2002-04-01,1085,1140,0,0,423,30,932,0.0,15960,9819,391,52,53,376,21009,7992,8,327,38842,8857,,,
2002-05-01,1008,1066,0,0,437,25,808,0.0,14411,9272,397,42,44,343,20272,7622,21,324,37497,8851,,,
2002-06-01,922,972,0,0,391,22,769,0.0,13704,9056,345,46,48,311,17477,6396,9,299,34596,8202,,,
2002-07-01,915,966,0,0,422,23,723,0.0,13188,8816,423,37,37,284,18084,6405,11,286,37089,8480,,,
2002-08-01,876,912,0,0,349,28,783,0.0,14288,9485,498,33,34,349,17763,6423,11,302,37930,8711,,,
2002-09-01,921,964,0,0,406,21,772,0.0,14148,9498,473,36,37,291,16819,6123,13,275,36702,8003,,,
2002-10-01,957,1030,0,0,435,31,893,0.0,18033,10302,458,43,45,415,19150,7171,14,341,41106,9495,,,
2002-11-01,954,1037,0,0,426,22,922,0.0,15557,9531,398,31,32,317,18198,6632,17,326,41054,8954,,,
2002-12-01,1059,1111,0,0,421,41,965,0.0,18023,10591,570,39,39,308,18648,6309,9,263,43534,8101,,,
2003-01-01,938,995,0,0,353,25,857,0.0,15733,8451,498,43,43,327,19104,6593,18,260,43961,8939,,,
2003-02-01,993,1040,0,0,331,34,834,0.0,16201,8818,495,45,45,344,18874,6722,6,325,41272,8442,,,
